artist_name,artwork_title,medium,dimensions,price_estimate,sale_price,sale_date,auction_house
constantin brancusi,Le Coq,Bronze (lost wax casting),18 1/8 x 8 1/4 x 3 7/8 in,"$ 4,000 - $ 6,000","$50,400",18 May 2023,Rago
constantin brancusi,"Mademoiselle Pogany
",Bronze/cylindrical black granite base,22 7/8 x 8 1/4 in,"$ 637 - $ 1,273 ","$4,839",08 Aug 2023,Cotswold Auction Company
constantin brancusi,L'Orgueil (1905),"Bronze, golden brown patina. Cire perdue Valsuani",12 1/6 in,"$ 50,000 - $ 70,000","$75,000",10 May 1995,Christie's
constantin brancusi,Le Poisson (1926),"Bronze, polished/carved wood base",5 x 16 5/8 in,"$ 2,000,000 - $ 3,000,000","$1,500,000",30 Apr 1996,Christie's
constantin brancusi,Danaïde (c.1913),"Bronze, dark brown patina, gold leaf",11 in,"$ 8,000,000 - $ 10,000,000","$18,159,500",07 May 2002,Christie's
constantin brancusi,"Lampe (c.1928/30)
","Stone (sculpté), cuivre",7 7/8 in,"$ 79,158 - $ 105,544","$156,022",30 Nov 2010,Artcurial (S.V.V.)
Alfred Steiglitz,"""The Hill & Sky - Lake George"" (1921)",Gelatin silver print,9 3/8 x 7 3/8 in,"$ 20,000 - $ 30,000","$20,900",12 May 1986,Sotheby's
Alfred Steiglitz,Katherine Rhoades (1915),Albumen print,9 5/8 x 7 5/8 in,"$ 8,000 - $ 12,000","$6,875",12 May 1986,Sotheby's
Alfred Steiglitz,"""Reflections, N.Y."" (1897)",Gelatin silver print,3 1/4 x 3 1/4 in,"$ 3,000 - $ 5,000","$9,900",25 Apr 1990,Sotheby's
Alfred Steiglitz,The Steerage (1907),Photogravure/tissue. Printed 1911,7 3/4 x 6 1/4 in,"$ 5,000 - $ 7,000","$5,000",25 Oct 2006,Bonhams & Butterfields
Alfred Steiglitz,"West Tower and Radio City, New York (1933)",Bromoil gelatin silver print,9 1/4 x 7 1/4 in,"$ 10,000 - $ 15,000","$24,000",24 Apr 2007,Christie's
Alfred Steiglitz,Marie Rapp (1915),Platinum print (waxed),10 x 7 7/8 in,"$ 20,000 - $ 30,000","$49,000",16 Oct 2007,Sotheby's
Alfred Steiglitz,"Georgia O""Keeffe (1918)","Photograph, flush-mounted",3 1/2 x 4 1/2 in,"$ 100,000 - $ 200,000","$212,500",07 Oct 2015,Sotheby's
Alfred Steiglitz,Equivalent HH3 (1929),"Vintage gelatin silver print, adhered to board by Stieglitz, trimmed, and adhered to larger board by Stieglitz, which was later trimmed by someone else",4 5/8 x 3 5/8 in,"$ 15,000 - $ 25,000","$43,750",19 Nov 2015,Christie's
Alfred Steiglitz,Equivalent HH3 (1929),"Vintage gelatin silver print, adhered to board by Stieglitz, trimmed, and adhered to larger board by Stieglitz, which was later trimmed by someone else",4 5/8 x 3 5/8 in,"$ 15,000 - $ 25,000","$43,750",19 Nov 2015,Christie's
Alfred Steiglitz,Equivalent O3 (1929),"Vintage gelatin silver print, adhered to board by Stieglitz, trimmed, and adhered to larger board by Stieglitz, which was later trimmed by someone else",4 5/8 x 3 5/8 in,"$ 15,000 - $ 25,000","$20,000",19 Nov 2015,Christie's
Alfred Steiglitz,The Steerage (1907),Photogravure/tissu. Printed 1911,12 3/4 x 10 1/8 in,"$ 20,000 - $ 30,000","$25,000",17 Feb 2016,Christie's
Alfred Steiglitz,City of Ambition (1910),"Photogravure. Printed no later than 1913, mounted.",13 3/8 x 10 1/4 in,"$ 20,000 - $ 30,000","$25,400",09 Oct 2024,Phillips
Alfred Steiglitz,The Steerage (1907),Photogravure/tissue. Printed no later than 1915.,12 1/2 x 10 1/8 in,"$ 12,000 - $ 18,000","$22,860",09 Oct 2024,Phillips
Alfred Steiglitz,The Terminal (1893),"Photogravure. Printed no later than 1913, mounted.",13 1/8 x 10 in,"$ 30,000 - $ 50,000","$35,560",09 Oct 2024,Phillips
Edgar Degas,"Deux danseuses au repos
",Drawing-Watercolor,24 x 18 7/8 in,"$ 21,140 - $ 31,710","$23,254",09 Dec 2024,Millon
Edgar Degas,"Danseuses
","Charcoal, pastel/paper/board",18 7/8 x 24 3/4 in,"$ 300,000 - $ 500,000","$228,000",19 Nov 2024,Sotheby's
Edgar Degas,"Torse de femme nue
 ",Charcoal/paper,12 5/8 x 9 1/2 in,"$ 40,000 - $ 60,000","$75,600",18 May 2024,Christie's
Edgar Degas,"Trois têtes (c.1871)
 ",Oil/canvas,"15 x 18 1/8 in
","$ 33,882 - $ 56,471","$57,261",09 Jul 2020,Artcurial (S.V.V.)
Edgar Degas,"Jockey (c.1881/85)
","Pastel, charcoal/paper/board","12 3/4 x 9 1/2 in
","$ 553,560 - $ 830,340","$657,076",29 Jun 2021,Sotheby's
Edgar Degas,"Grande arabesque, troisième temps (1882-1895)
","Bronze, dark brown patina, gold leaf",17 1/8 x 22 in,"$ 80,000 - $ 100,000","$80,000",15 May 1984,Sotheby's
Edgar Degas,"Danseuses au tambourin (1883)
",Oil/canvas/panel,12 5/8 x 16 1/8 in,"$ 500,000 - $ 700,000","$550,000",15 May 1984,Sotheby's
Edgar Degas,"Le bain (c.1888)
","Pastel, charcoal/paper",35 3/8 x 28 1/3 in,"$ 650,000 - $ 850,000","$1,000,000",15 May 1984,Sotheby's
Edgar Degas,"Chanteuse de Café Concert (c.1878)
","Pastel/paper (joined, monotype)",6 3/4 x 6 1/3 in,"$ 1,000,000 - $ 1,500,000","$1,322,500",13 Nov 1997,Sotheby's
Edgar Degas,La sortie du bain (c.1900-1905),"Pastel/paper (joined, monotype)",30 3/4 x 31 1/8 in,"$ 589,600 - $ 884,400 ","$1,140,139",05 Feb 2001,Sotheby's
Edgar Degas,Danseuse rose (c.1900),"Pastel/paper (joined, monotype)",26 3/4 x 18 7/8 in,"$ 442,200 - $ 589,600","$913,143",05 Feb 2001,Sotheby's
Edgar Degas,Petite danseuse de quatorze ans (1879-1881),"Bronze, with muslin skirt, satin hair ribbon/wooden base",38 1/2 in,"$ 9,097,500 - $ 12,736,500 ","$9,180,469",03 Feb 2004,Sotheby's
Edgar Degas,Avant la course (c.1882-1888),Oil/paper/cradled panel,11 3/4 x 19 in,"$ 5,000,000 - $ 7,000,000","$4,376,000",05 May 2004,Sotheby's
Edgar Degas,Scène de ballet (c.1885),Oil/canvas,32 x 22 1/6 in,"$ 2,378,550 - $ 3,171,400","$2,794,796",23 Jun 2015,Christie's
