Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Indonesia,IDN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.39492540819922,6.36312113115612,3.5258051568793,3.80879806953157,3.1983464156241,3.03058664969487,1.9209680056685,1.56012990525673,4.20946383402165,3.67013142377007
Indonesia,IDN,Consumer price index (2010 = 100),FP.CPI.TOTL,124.386150032818,132.300991429788,136.965666608222,142.182412273917,146.729898360527,151.176675071352,154.080730631506,156.484590188327,163.071752418121,169.056700046911
Indonesia,IDN,Real interest rate (%),FR.INR.RINR,6.79211858069728,8.34991063469474,9.22443234413206,6.50156399609036,6.47124983937941,8.62940479031393,9.98592671987597,2.7532239499583,-0.955296610119879,7.28195525441058
Indonesia,IDN,Lending interest rate (%),FR.INR.LEND,12.605,12.6625,11.8883333333333,11.0733333333333,10.5366666666667,10.3658333333333,9.54416666666667,8.9225,8.52,8.92666666666667
Italy,ITA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.241047429826756,0.0387903996579733,-0.09401665691575,1.22653316645812,1.13748763600391,0.611246943765304,-0.13770757391651,1.87378325762481,8.20128991161718,5.62219442195901
Italy,ITA,Consumer price index (2010 = 100),FP.CPI.TOTL,107.457017849343,107.498700856028,107.397634171255,108.714901774357,109.951520340534,110.623595648239,110.471258578492,112.541250526224,121.771084752039,128.617291886527
Italy,ITA,Real interest rate (%),FR.INR.RINR,3.91764782821879,3.16786623371122,2.33532587673561,2.25808863862564,1.59483303043837,1.64891714021908,0.737515246016204,0.758006670454846,-1.29349992436979,-0.361661992063661
Italy,ITA,Lending interest rate (%),FR.INR.LEND,4.86666666666667,4.12925,3.49616666666667,3.00083333333333,2.68,2.6025,2.32833333333333,2.02591666666667,2.264455,4.89248125
Japan,JPN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.75922671353253,0.795279630579839,-0.127258844489754,0.484199796126385,0.989094598021848,0.46877615938395,-0.024995834027731,-0.233352779398264,2.49770278172255,3.26813365933163
Japan,JPN,Consumer price index (2010 = 100),FP.CPI.TOTL,102.777289506064,103.594656354368,103.462822991738,103.963789769731,104.992089998242,105.484267885393,105.457901212867,105.211812269292,107.839690631042,111.364035858675
Japan,JPN,Real interest rate (%),FR.INR.RINR,-0.459381591769,-0.948441229804994,0.62219276043703,1.06914440729003,..,..,..,..,..,..
Japan,JPN,Lending interest rate (%),FR.INR.LEND,1.21916666666667,1.14283333333333,1.04475,0.994,..,..,..,..,..,..
"Korea, Rep.",KOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.27477446401322,0.70633177245575,0.971685739912168,1.94433230786366,1.47583935002645,0.383000303608136,0.537288023411737,2.49833333333339,5.08951365062842,3.5974562502901
"Korea, Rep.",KOR,Consumer price index (2010 = 100),FP.CPI.TOTL,109.057167004994,109.82747242569,110.894650313757,113.050810827499,114.719259179216,115.158634290169,115.777367840135,118.669872413341,124.709591769001,129.195964772806
"Korea, Rep.",KOR,Real interest rate (%),FR.INR.RINR,3.32627074144665,0.337001849362955,1.35455942282986,1.22662019971689,3.16426921092061,4.32142949289067,1.21885992613016,0.117975152059719,2.97897986524902,3.06189296952557
"Korea, Rep.",KOR,Lending interest rate (%),FR.INR.LEND,4.26333333333333,3.53333333333333,3.3675,3.47666666666667,3.6625,3.44583333333333,2.80166666666667,2.88416666666667,4.2925,5.18916666666667
Mexico,MEX,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.01861608078679,2.72064064964023,2.8217078474766,6.04145724018986,4.89935015356551,3.63596142127046,3.39683415570006,5.68920847683753,7.8962761916855,5.52796087314389
Mexico,MEX,Consumer price index (2010 = 100),FP.CPI.TOTL,116.247985177591,119.410675116721,122.780095507214,130.197802476747,136.57664871233,141.542522969974,146.350487735058,154.676672089174,166.890369321443,176.116003638578
Mexico,MEX,Real interest rate (%),FR.INR.RINR,-0.782518932664157,0.207059192646062,-1.24759733279354,0.717765161995541,2.69522693587484,3.99937559873551,1.45269799098275,0.697497472889784,1.63189542059693,6.79845919139278
Mexico,MEX,Lending interest rate (%),FR.INR.LEND,3.55166666666667,3.43916666666667,4.75416666666667,7.3325,8.04,8.42916666666667,6.34166666666667,5.26583333333333,8.17916666666667,11.5916666666667
Netherlands,NLD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.976035079699679,0.600248147278776,0.316666666666743,1.38145871407206,1.7034979474447,2.63369910249601,1.27246037789161,2.67572008805385,10.0012078753473,3.83839354342808
Netherlands,NLD,Consumer price index (2010 = 100),FP.CPI.TOTL,108.531758668693,109.183218539311,109.528965398018,111.042062834942,112.933662096136,115.907994941178,117.382878251613,120.523715504927,132.577542831667,137.666390675753
Netherlands,NLD,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..
Netherlands,NLD,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,..,..,..,..
Russian Federation,RUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.82341183865513,15.5344050528403,7.04244762954799,3.68332944412233,2.87829723647884,4.47036660760173,3.38165937237898,6.69445891957612,..,..
Russian Federation,RUS,Consumer price index (2010 = 100),FP.CPI.TOTL,131.155272814079,151.529464141176,162.200847296653,168.175238863746,173.015822116403,180.750263654162,186.862621885623,199.372063343799,..,..
Russian Federation,RUS,Real interest rate (%),FR.INR.RINR,3.39714683575481,7.89459357479114,9.48435447263491,4.94560423099718,-1.02848259453331,5.31670923072754,5.8252621205664,-10.2423105030022,-4.50335865315288,4.24838463209547
Russian Federation,RUS,Lending interest rate (%),FR.INR.LEND,11.1416666666667,15.7166666666667,12.5983333333333,10.56,8.86666666666667,8.75333333333333,6.77583333333333,7.18108333333333,11.4591666666667,11.6225
Saudi Arabia,SAU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.23629031536978,1.20607322150109,2.06884036053473,-0.838194579675018,2.45814158007532,-2.09333333333329,3.44545825956692,3.06328988941547,2.4740737192537,2.32708518362692
Saudi Arabia,SAU,Consumer price index (2010 = 100),FP.CPI.TOTL,115.22537829232,116.615080724277,119.027660580771,118.029977181469,120.93132112752,118.399825471917,122.479242037952,126.231136275934,129.354187644052,132.364369779118
Saudi Arabia,SAU,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..
Saudi Arabia,SAU,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,..,..,..,..
Spain,ESP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.151114837527235,-0.500365709903242,-0.202598000426452,1.95607633363963,1.6749813686379,0.699518994458739,-0.322753017299739,3.0931351197642,8.39057634118627,3.53236133492433
Spain,ESP,Consumer price index (2010 = 100),FP.CPI.TOTL,107.047558596627,106.511929320121,106.296138281102,108.375371885592,110.190639172868,110.961443623997,110.603312216661,114.024422110457,123.591728295232,127.957434718697
Spain,ESP,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..
Spain,ESP,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,..,..,..,..
Switzerland,CHE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.0132025387514939,-1.14390867228183,-0.434618664285835,0.533787839825897,0.936335464113563,0.362886179940614,-0.725874933313384,0.581814168489856,2.83502798644463,2.13540088016377
Switzerland,CHE,Consumer price index (2010 = 100),FP.CPI.TOTL,99.3077647259499,98.1717745930005,97.7451017375587,98.2668532046593,99.1869606006829,99.5468963730059,98.8243104053428,99.3992842451935,102.21728177187,104.400030506506
Switzerland,CHE,Real interest rate (%),FR.INR.RINR,3.36510208636232,3.99644754248307,3.24890887051055,3.00636739533907,1.84900465333685,2.73966471699439,3.35750961859024,1.37651137331578,0.145920367675993,1.82218673744216
Switzerland,CHE,Lending interest rate (%),FR.INR.LEND,2.69,2.68083333333333,2.64666666666667,2.62743867833333,2.62742559333333,2.63292318,2.63484670416667,2.63985731416667,2.64672373583333,2.86414745583333
Turkiye,TUR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,8.85457271364324,7.67085364845877,7.7751341532833,11.1443110840765,16.3324638988928,15.1768215720022,12.2789574462574,19.5964926913324,72.3088359891207,53.8594087593315
Turkiye,TUR,Consumer price index (2010 = 100),FP.CPI.TOTL,135.661434977578,146.067825112108,157.424794469357,174.96870328849,203.545403587444,234.437126307922,263.223561285501,314.806147234679,542.438807922272,834.593142750374
Turkiye,TUR,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..
Turkiye,TUR,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,..,..,..,..
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.45112016293279,0.36804684232536,1.0084173681141,2.55775577557747,2.29283990345938,1.73810460086513,0.989486703772491,2.51837109614213,7.92204883147902,6.79396706793963
United Kingdom,GBR,Consumer price index (2010 = 100),FP.CPI.TOTL,110.551137414463,110.958017384871,112.076937303495,114.943591640466,117.579064176068,119.622711300166,120.806362123174,123.848714629184,133.660070279268,142.740891437026
United Kingdom,GBR,Real interest rate (%),FR.INR.RINR,-0.807141873842772,..,..,..,..,..,..,..,..,..
United Kingdom,GBR,Lending interest rate (%),FR.INR.LEND,0.5,..,..,..,..,..,..,..,..,..
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.62222297740817,0.118627135552451,1.26158320570536,2.13011000365961,2.44258329692817,1.81221007526021,1.23358439630629,4.69785886363742,8.00279982052121,4.11633838374488
United States,USA,Consumer price index (2010 = 100),FP.CPI.TOTL,108.566932118964,108.695721960694,110.06700893427,112.411557302308,115.157303224791,117.244195476228,118.690501577198,124.266413825838,134.21120616846,139.73579356326
United States,USA,Real interest rate (%),FR.INR.RINR,1.48256139059228,2.31051464059837,2.53723229857104,2.26529638013973,2.55474987510739,3.54449745673519,2.19456642346184,-1.27623331138459,..,..
United States,USA,Lending interest rate (%),FR.INR.LEND,3.25,3.26,3.51166666666667,4.09666666666667,4.90416666666667,5.2825,3.54416666666667,3.25,..,..
Lebanon,LBN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.8546042134091,-3.74914524799629,-0.783359624361508,4.32135218303191,6.07698907889607,3.00538949390383,84.8643330472041,154.756096023393,171.205491336641,221.341644023365
Lebanon,LBN,Consumer price index (2010 = 100),FP.CPI.TOTL,119.448888615649,114.970576284332,114.069943209824,118.999307190905,126.230882092859,130.024611761339,240.369131329817,612.355015021184,1660.74042721277,5336.65059176616
Lebanon,LBN,Real interest rate (%),FR.INR.RINR,7.16134867411629,3.63383207891925,7.41493218280356,5.39647299086804,3.38554652858344,6.16602246203992,..,..,..,..
Lebanon,LBN,Lending interest rate (%),FR.INR.LEND,7.27416666666667,7.09083333333333,8.35083333333333,8.29333333333333,9.095,10.5133333333333,..,..,..,..
Lithuania,LTU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.103758009433708,-0.884097405500596,0.905525075460342,3.72288862303707,2.69792779208394,2.33450937988027,1.19989444983569,4.68354420903453,19.7050461518394,9.11731962390475
Lithuania,LTU,Consumer price index (2010 = 100),FP.CPI.TOTL,108.584878864148,107.624882767344,108.599453068237,112.642489751195,115.681502787888,118.382098321258,119.802558548614,125.413564341792,150.12636507601,163.813865619739
Lithuania,LTU,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..
Lithuania,LTU,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.90663590717861,1.12524136094277,1.42875954701085,1.59688412852977,2.26822567248103,1.94926902411593,0.716999632307827,3.39519318527528,6.80280115341613,3.87900159788426
Canada,CAN,Consumer price index (2010 = 100),FP.CPI.TOTL,107.462793360046,108.672009158557,110.224670864339,111.984831139096,114.524899828277,116.757298225529,117.594447624499,121.587006296508,129.858328563251,134.895535203205
Canada,CAN,Real interest rate (%),FR.INR.RINR,1.03863897338225,3.67453345002429,1.96890523916422,0.12575223729819,..,..,..,..,..,..
Canada,CAN,Lending interest rate (%),FR.INR.LEND,3,2.775,2.7,2.7,..,..,..,..,..,..
Arab World,ARB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.64755321246189,1.83135233156368,2.37271603075831,2.06932928164433,2.76275077032944,1.04883403678997,1.61222220402456,2.96581008346283,4.99502075060902,3.64216403030709
Arab World,ARB,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,..,..,..,..
North America,NAC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.76442944229339,0.621934248247611,1.34517137635811,1.86349706609469,2.3554044847046,1.88073954968807,0.975292014307058,4.04652602445635,7.40280048696867,3.99766999081457
North America,NAC,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..
North America,NAC,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..
North America,NAC,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,..,..,..,..
World,WLD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.35449052820358,1.44385719270808,1.60553917414213,2.25427651934813,2.45036243850175,2.20607305781525,1.9209680056685,3.46692585313082,7.96757361617945,5.69115300971441
World,WLD,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..
World,WLD,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..
World,WLD,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 11/13/2024,,,,,,,,,,,,,
